Books,,,,,,,,,
ISBN,Title,Author(s),Publisher,Year,Price,Category,,,
0471288217,A Visual Dictionary of Architecture,Francis D. K. Ching,John Wiley & Sons,1996,$39.95,Home Design,,,
0156006219,The Magician's Assistant,Ann Patchett ,Harvest Books,1998,$13.00,Romance,,,
0060540753,Patron Saint of Liars,Ann Patchett ,Harperperennial Library,2003,$13.95,Romance,,,
0393318486,How the Mind Works,Steven Pinker ,W.W. Norton & Company,1999,$17.95,Science,,,
0060958332,The Language Instinct: How the Mind Creates Language,Steven Pinker ,Perennial,2000,$10.50,Science,,,
0060958405,Words and Rules: The Ingredients of Language,Steven Pinker ,Perennial,2000,$15.00,Science,,,
0393319407,The Diversity of Life,Edward Osborne Wilson ,W.W. Norton & Company,1999,$16.95,Science,,,
067463442X,On Human Nature,Edward Osborne Wilson ,Harvard Univ Pr,1988,$18.95,Science,,,
0446608955,A Walk to Remember,Nicholas Sparks ,Warner Books,2000,$6.99,Literature & Fiction,,,
0446676098,The Notebook,Nicholas Sparks ,Warner Books,1999,$12.95,Literature & Fiction,,,
0446606812,Message in a Bottle,Nicholas Sparks ,Warner Books,1999,$7.50,Literature & Fiction,,,
0262521415,Numerical Techniques in Finance,Simon Benninga ,MIT Press,1989,$35.00,Accounting & Finance,,,
0262232197,Econometric Analysis of Cross Section and Panel Data,Jeffrey M. Wooldridge ,MIT Press,2001,$74.95,Accounting & Finance,,,
0324113641,Introductory Econometrics: A Modern Approach,Jeffrey M. Wooldridge ,South-Western College Pub,2002,$107.95,Accounting & Finance,,,
0471391123,Beyond Coso : Internal Control to Enhance Corporate Governance,Steven J. Root ,John Wiley & Sons,2000,$50.00,Accounting & Finance,,,
0130998516,Real World FPGA Design with Verilog,Ken Coffman ,Prentice Hall PTR,1999,$83.00,Computer,,,
1565924916,Ldap System Administration,Gerald Carter ,O'Reilly & Associates,2003,$39.95,Computer,,,
0735712360,The Photoshop Book for Digital Photographers,Scott Kelby ,New Riders Publishing,2003,$39.99,Computer,,,
0735712379,Photoshop 7 Down & Dirty Tricks,Scott Kelby ,New Riders Publishing,2002,$39.99,Computer,,,
0735713170,Mac OS X v. 10.2 Jaguar Killer Tips,Scott Kelby ,New Riders Publishing,2002,$29.99,Computer,,,
1558606432,Persuasive Technology: Using Computers to Change What We Think and Do,B. J. Fogg ,Morgan Kaufmann,2002,$34.95,Computer,,,
0072222743,A+ Certification All-in-One Exam Guide,Michael Meyers ,McGraw-Hill Osborne Media,2002,$59.99,Computer,,,
0345409469,The Demon-Haunted World: Science As a Candle in the Dark,Carl Sagan ,Ballantine Books ,1997,$14.95,Science,,,
0375508325,Cosmos,Carl Sagan ,Random House,2002,$35.00,Science,,,
0345336895,Broca's Brain: Reflections on the Romance of Science,Carl Sagan ,Ballantine Books,1993,$6.99,Science,,,
0671004107,Contact,Carl Sagan ,Pocket Books,1997,$7.99,Science,,,
0345376595,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan ,Ballantine Books ,1997,$12.95,Science,,,
0316666343,The Lovely Bones: A Novel,Alice Sebold ,Little Brown & Company,2002,$21.95,Literature & Fiction,,,
0316096199,Lucky: A Memoir,Alice Sebold,Back Bay Books,2002,$11.95,Literature & Fiction,,,
